"Judul","Sinopsis","Genre"
"Momo","Di tengah reruntuhan amfiteater di tepi kota, hiduplah gadis cilik tunawisma bernama Momo. Momo memiliki bakat khusus. Masalah apa saja, kalau diceritakan pada Momo, seketika muncul jalan keluar terbaik. Suatu hari, gerombolan tuan kelabu menakutkan datang dan diam-diam mencuri waktu para penduduk. Mereka ingin mengambil alih kota. 

Satu per satu teman Momo pun berhenti datang karena dipaksa mengisi waktu dengan beragam kesibukan. Mereka tak lagi punya waktu untuk sekadar bercanda. Hanya Momo yang tidak terpengaruh oleh kekuatan tuan-tuan kelabu. Bagaimana Momo menolong teman-temannya dan penduduk kota dari cengkeraman para tuan kelabu? Karena waktu yang dihabiskan bersama teman-teman, tidak berarti buang waktu, kan?

Selling Point:
Novel klasik yang diterjemahkan dari bahasa German. Pertama kali terbit tahun 1973 di German. Bisa dibaca oleh seluruh usia, dari anak-anak hingga dewasa, seperti Harry Potter. Edisi tahun 2024 ini adalah edisi cetak ulang novel terjemahan Momo.

Profil Penulis:
Michael Ende lahir pada tahun 1929 di Jerman Selatan. Dia putra pelukis surealis Edgar Ende. Dari tahun 1948- 1950, dia bersekolah di Otto Falckenberg High School of Dramatic Art di Munich.
Sejak tahun 1943, Michael Ende sudah menulis puisi dan cerita pendek. Ketika itu dia berada di kamp untuk anak anak yang dievakuasi dari kota-kota. Beberapa anak yang satu kamar dengannya banyak membaca buku-buku karya para pengarang besar. Itulah pertama kalinya dia mengenal novel-novel karya Dostoyevsky dan Novalis, yang sejak itu dia jadikan panutannya. Setelah dewasa, dia bekerja sebagai manajer panggung di Volkstheater, Munich, dan menulis ulasan-ulasan film untuk radio Bavaria
Suksesnya sebagai penulis bermula pada tahun 1961, ketika buku anak-anak karya, Jim Button and Luke the Engine Driver, mendapat penghargaan Deutsche Jugend Literatur Preis. Buku tersebut diterbitkan pada tahun 1960 oleh Thienemann’s Publishing House, setelah ditolak oleh lebih dari 12 penerbit.
Sejak tahun 1970, Michael Ende tinggal di Italia. Disanalah dia menyelesaikan penulisan novel Momo pada tahun 1972. Momo juga mendapat penghargaan Deutsche Jugend Literatur Preis pada tahun 1974.","Fantasi"
"Respati - Malam Pencabut Nyawa","Kejadian mengerikan terjadi di Yogyakarta. Para korban ditemukan tewas tergantung dalam posisi terbalik. Tidak ada satu pun yang tahu siapa pelaku semua pembunuhan itu. Namaku Respati. Aku mempunyai kemampuan aneh, yaitu bisa masuk ke dalam mimpi seseorang hanya dengan menyentuh kulit Si Pemimpi. Aku sudah terbiasa dengan kemampuan ini sebelum mengenal Wulan yang ternyata mimpinya tidak bisa kutembus. Dari Wulan-lah aku tahu bahwa aku seorang Penjelajah Mimpi. Dari Wulan pula aku tahu bahwa semua kasus pembunuhan itu berhubungan erat dengan kemampuanku.

Keunggulan:
Fantasi lokal yang mengangkat tema Lucid Dream, ditambah dengan bumbu misteri. 
Dengan setting Yogyakarta yang detail, pembaca akan diajak untuk memecahkan teka-teki siapa dalang sebenarnya di dalam cerita ini.
Dan dengan alur cerita yang runtut dan mengalir, pembaca juga akan menamatkan cerita ini dalam sekali duduk.
Selain itu, novel ini menampilkan informasi mengenai Penjelajah Mimpi yang mudah dipahami. Termasuk bacaan ringan, tapi dengan isi yang berisi.

Respati: Malam Pencabut Nyawa dipuji karena plotnya yang menegangkan, karakter yang berkembang dengan baik, dan pembangunan dunianya yang unik. Novel ini disebut sebagai ""wajib baca"" untuk penggemar novel fantasi dan misteri.

Profil Ragiel JP:
Nama Lengkap: Ragiel Jaya Pradipta 
Genre: Menulis novel fantasi dan misteri 
Karya Terbit:
Respati (2021) - Novel fantasi-misteri tentang remaja yang bisa melihat mimpi berbahaya 
Malaikat dari Bintang
Aksara Kematian
Dunia Tanpa Zodiak","Fantasi"
"This Winter, to You Who will be Gone","Natsumi Ikuta, perempuan yang berusia 24 tahun dan bekerja di perusahaan alat tulis, merasa begitu tidak bersemangat, merasakan kekosongan baik dalam pekerjaan maupun kehidupan pribadinya. Suatu malam, ketika bekerja lembur sendirian di kantor, dia terjebak dalam kebakaran dan kehilangan kesadarannya. Saat terbangun, seorang pria misterius bernama Atsuki berdiri dan berkata padanya, “Musim dingin ini, kau akan mati.” 

Atsuki memberi Natsumi kesempatan untuk menunda kematian selama 6 tahun. Setiap Desember, Natsumi akan menghadapi ‘bau kematian’ yang harus dia atasi dengan caranya sendiri. Jika Natsumi mampu menghadapinya, ia akan mampu menghindari kematian 6 tahun kemudian. 

KEUNGGULAN
Novel ini diterbitkan pada tahun 2019 dan memenangkan penghargaan dari Shizuoka Bookstore Grand Prize dalam kategori most want to make a movie (buku yang diinginkan untuk diangkat menjadi film). 
Plot yang disajikan menarik dan membuat penasaran dengan munculnya Atsuki di setiap bulan Desember mendekati tanggal 15 dan masa-masa krisis Natsumi yang selalu menemukan tanda-tanda kematian yang dilihatnya dalam rentang waktu 6 tahun kesempatan hidupnya. Keberadaan Atsuki juga membuat pembaca menebak-nebak apakah dia malaikat maut, dewa kematian, atau figur lain seperti cerita-cerita fantasi pada umumnya.
Salah satu keunikan yang disajikan adalah perusahaan tempat Natsumi dan Esima bekerja merupakan perusahaan produsen alat tulis (jarang dibahas di beberapa novel). Dalam cerita digambarkan dinamika perusahaan tersebut seperti atasan yang disiplin, proposal rencana produksi alat tulis yang bocor ke perusahaan lain, inovasi alat tulis untuk pengguna kidal, dan adanya ‘ruang curhat’ (pantry) yang digunakan pegawai untuk berdiskusi hal-hal di luar pekerjaan.
Cerita ini menyajikan konflik yang relate dengan kehidupan dewasa muda, seperti kehidupan pekerjaan, percintaan, dan hubungan dengan keluarga. Situasi desperate yang dialami oleh tokoh juga kemungkinan dialami oleh para pembaca, sehingga novel ini juga memiliki pesan yang memberikan semangat. Meskipun konflik yang disajikan sederhana, penulis mampu mengeksekusinya dengan baik.","Fantasi"
"Toko Jajanan Ajaib Zenitendo 3","Zenitendo punya pesaing baru. Tatarimedo namanya. Toko ini hanya menjual jajanan jahat. Adu jajanan tak terelakkan, apalagi Tatarimedo berusaha merebut pelanggan Zenitendo. Zenitendo vs. Tatarimedo, siapa yang akan menang? Jajanan dalam buku ini, di antaranya: Wafer Pelahap Mimpi, Acar Plum Anti Keriput, dan Soda Mumi. 

Buku Toko Jajanan Ajaib Zenitendo telah terjual jutaan kopi di Jepang dan Korea. Novel bestseller asal jepang ini berkisah tentang toko jajanan ajaib yang dapat mewujudkan keinginan setiap pembelinya. Beniko, nyonya pemilik Zenitendo, akan menawarkan jajanan-jajanan unik nan ajaib kepada para pembelinya. Namun, berhati-hatilah, karena jika pembeli tidak mengikuti saran Beniko, nasib buruk akan siap-siap menanti. 

Sukses diterbitkan sebagai buku, anime Zenitendo mulai tayang sejak 2020 di saluran TV Jepang, NHK. Menyusul kesuksesan buku dan anime, Zenitendo juga akan diangkat menjadi drama korea dengan pemeran utama Ra Mi-ran (The Good Bad Mother & Reply 1988) dan Lee Re (Move to Heaven & Hellbound).

Selling Point:
-Telah terjual jutaan kopi di Jepang dan Korea. 
-Telah diangkat menjadi anime di saluran tv NHK Jepang sejak 2020. 
-Berkisah tentang toko jajanan ajaib yang dapat memikat pembaca. 
-Dihiasi ilustrasi khas Jepang. 
-Segera diangkat menjadi drama Korea yang dibintangi Ra Mi-ran (The Good Bad Mother & Reply 1988) dan Lee Re (Move to Heaven & Hellbound).","Fantasi"
"Toko Jajanan Ajaib Zenitendo 4","Persaingan jajanan antara Zenitendo dan Tatarimedo semakin sengit. Tatarimedo sangat gigih merebut pelanggan Zenitendo dengan iming-iming kekuatan jajanan yang lebih dahsyat. Akankah adu jajanan berakhir? Jajanan dalam buku ini, di antaranya: Bakpao Serigala, Telur Cokelat Goblin, dan Permen Sirup Jagung Pelangi. 

Buku Toko Jajanan Ajaib Zenitendo telah terjual jutaan kopi di Jepang dan Korea. Novel bestseller asal jepang ini berkisah tentang toko jajanan ajaib yang dapat mewujudkan keinginan setiap pembelinya. Beniko, nyonya pemilik Zenitendo, akan menawarkan jajanan-jajanan unik nan ajaib kepada para pembelinya. Namun, berhati-hatilah, karena jika pembeli tidak mengikuti saran Beniko, nasib buruk akan siap-siap menanti. 

Sukses diterbitkan sebagai buku, anime Zenitendo mulai tayang sejak 2020 di saluran TV Jepang, NHK. Menyusul kesuksesan buku dan anime, Zenitendo juga akan diangkat menjadi drama korea dengan pemeran utama Ra Mi-ran (The Good Bad Mother & Reply 1988) dan Lee Re (Move to Heaven & Hellbound).

Selling Point:
-Telah terjual jutaan kopi di Jepang dan Korea. 
-Telah diangkat menjadi anime di saluran tv NHK Jepang sejak 2020. 
-Berkisah tentang toko jajanan ajaib yang dapat memikat pembaca. 
-Dihiasi ilustrasi khas Jepang. 
-Segera diangkat menjadi drama Korea yang dibintangi Ra Mi-ran (The Good Bad Mother & Reply 1988) dan Lee Re (Move to Heaven & Hellbound).","Fantasi"
"Menyelamatkan Teete (Parole Teetee)","Ada rumor yang beredar di kalangan anak-anak bahwa tas cokelat besar menggelembung milik Frau Teetee itu ajaib. Tas yang bisa mengabulkan keinginan. Tas itu bisa mengeluarkan apa pun yang kaubutuhkan. Namun, suatu hari Teetee menghilang tanpa jejak. Anak-anak akhirnya menyadari wanita tua anggun itu telah diculik! Tujuh anak dengan sifat bertolak belakang yang biasanya jarang berinteraksi, bersatu untuk mencari tahu apa yang terjadi kepada Teetee. Mereka pun membentuk tim dan berdiskusi di Pusat Komando. Letaknya di depan toko kelontong Herr Mansur, di bangku dengan banyak bantal warna-warni. Ketujuh anak itu meluncurkan operasi penyelamatan yang penuh petualangan. Lorong bawah tanah dengan rintihan menyedihkan, vila tua dengan para penghuni yang menakutkan, surat kontrak aneh yang ditinggalkan. Akankah mereka berhasil menyelamatkan Teetee setelah melewati semua itu?

Prolog:
Semua orang menganggap Teetee aneh: anak-anak, orang dewasa, yang lain juga. Bahkan, anjing gendut milik Si Tua Hofmann lepas kendali dan menggonggong ke sepanjang jalan saat Teetee lewat. (Hofmann Tua dan anjing gendutnya tidak akan muncul kembali dalam cerita ini.) Teetee bertubuh ramping dan jangkung seperti pohon kacang. Dia juga sudah tua. Mungkin berusia 87, atau bisa juga 62. Barangkali di antara keduanya. Yang jelas, dia memiliki banyak sekali keriput. Ketika berjalan melewati Teetee, perasaan menjadi sedikit tidak nyaman. Namun, tidak ada yang bisa menjelaskan alasannya. Penampilan Teetee yang mirip pohon kacang tentu bukanlah penyebabnya. Pohon kacang biasanya tidak berbahaya. Orang tua pada umumnya juga tidak meresahkan.

Profil Penulis:
Antje Herden tidak memiliki tas ajaib. Tetapi dia memiliki pena ajaib yang digunakannya untuk menulis sejumlah buku anak dan buku remaja. Dia menerima banyak penghargaan untuk buku-bukunya, seperti Peter Härtling Award pada tahun 2019, dan telah dinominasikan untuk German Youth Literature Award pada tahun 2020. Buku-bukunya kemungkinan dapat memenuhi keinginan yang tidak kau sadari sebelumnya. Sungguh layak dicoba!","Fantasi"
"Titipan Kilat Penyihir","Sesuai tradisi penyihir, pada usia tiga belas tahun Kiki harus pindah ke kota lain. Dia harus meninggalkan Ibu, Ayah, serta kota kelahirannya. Kiki hanya akan ditemani Jiji si kucing hitam. Ibu sudah melarangnya tinggal di kota besar, tapi Kiki kepalang suka pada kota Koriko, karena menara jamnya sangat tinggi dan letaknya dekat laut. Tapi astaga... warga kota Koriko tidak menyambut Kiki dengan hangat. Apakah Kiki bakal bisa bertahan di kota ini, padahal dia cuma bisa satu sihir: terbang dengan sapu?

Prolog:
Di suatu masa, tersebutlah sebuah kota kecil yang diapit hutan lebat dan bukit rumput landai. Kota ini agak menurun ke arah selatan, dengan jajaran atap mungil yang warnanya seperti roti hangus. Stasiun kereta terletak nyaris di tengah kota, sedangkan kantor wali kota, kantor polisi, dinas pemadam kebakaran, dan sekolah mengelompok agak jauh dari sana. Sepintas, kota ini tampak seperti kota-kota lain yang ada di mana-mana.
Tapi kalau diperhatikan baik-baik, ada sesuatu yang mungkin jarang bisa dilihat di kota lain. Salah satunya adalah lonceng-lonceng perak yang tergantung di pucuk pohon-pohon tinggi. Meskipun tak ada angin kencang, terkadang lonceng-lonceng itu bergemerincing keras. Bila hal ini terjadi, para penduduk kota akan berpandangan dan tertawa bersama, ”Alamak! Kaki Kiki kecil tersangkut lagi!” Benar, Kiki yang disebut-sebut para penduduk juga tidak biasa, tidak seperti anak kebanyakan. Karena walau badannya kecil, dia bisa membunyikan lonceng yang tergantung di pohon-pohon tinggi.","Fantasi"
"Sang Alkemis (Edisi Cover Spesial HUT GPU 50 Tahun)","Setiap beberapa puluh tahun, muncul sebuah buku yang mengubah hidup para pembacanya selamanya. Novel Paulo Coelho yang memikat ini telah memberikan inspirasi bagi jutaan orang di seluruh dunia. Kisah yang sangat sederhana, namun menyimpan kebijaksanaan penuh makna, tentang anak gembala bernama Santiago yang berkelana dari rumahnya di Spanyol ke padang pasir Mesir untuk mencari harta karun terpendam di Piramida-Piramida. Di perjalanan dia bertemu seorang perempuan Gipsi, seorang lelaki yang mengaku dirinya Raja, dan seorang alkemis––semuanya menunjukkan jalan kepada Santiago untuk menuju harta karunnya.

Tak ada yang tahu isi harta karun itu, atau apakah Santiago akan berhasil mengatasi rintangan-rintangan sepanjang jalan. Namun perjalanan yang semula bertujuan untuk menemukan harta duniawi berubah menjadi penemuan harta di dalam diri.
Kaya, menggugah, dan sangat manusiawi, kisah Santiago menunjukkan kekuatan mimpi-mimpi dan pentingnya mendengarkan suara hati kita. 

Profil Penulis:
Kehidupan Paulo Coelho selalu menjadi sumber inspirasi utama buku-buku karyanya. Dia pernah bercumbu dengan maut, luput dari kegilaan, bermain main dengan obat terlarang, bertahan dari siksaan, bereksperimen dengan sihir dan alkimia, mempelajari filsafat dan agama, membaca dengan rakus, kehilangan dan menemukan kembali imannya, dan mengalami rasa sakit dan nikmatnya cinta. Dalam perjalanannya mencari tempatnya sendiri di dunia, dia telah menemukan jawaban-jawaban atas berbagai tantangan yang dihadapi semua manusia. Dia percaya bahwa di dalam diri kita ada kekuatan yang dibutuhkan untuk menemukan takdir kita sendiri.
Buku-buku Paulo Coelho telah dialihbahasakan ke dalam 83 bahasa dan sudah terjual lebih dari 320 juta eksemplar di lebih dari 170 negara. Novelnya tahun 1998 yang berjudul Sang Alkemis telah terjual lebih dari 85 juta eksemplar dan telah dikutip sebagai inspirasi oleh berbagai orang seperti Malala Yousafzai dan Pharrell Williams. Paulo Coelho merupakan anggota Brazilian Academy of Letters dan telah menerima Chevalier de l’Ordre National de la Legion d’Honneur. Pada tahun 2007, dia ditunjuk sebagai Duta Perdamaian Perserikatan Bangsa-Bangsa.","Fantasi"
"Pangeran Cilik (The Little Prince) (Edisi Cover Spesial HUT GPU 50 Tahun)","PANGERAN CILIK termasuk buku yang paling banyak diterjemahkan di dunia. Konon pernah disadur ke dalam 230 bahasa. Buku ini memang luar biasa. Tampaknya seolah cerita anak-anak, tapi sebenarnya dinikmati dan direnungkan juga oleh orang dewasa. Lewat cerita seorang anak yang mengamati dunia dengan mata naif dan lugu, Saint-Exupéry menyentuh beberapa nilai dan pengalaman manusia yang paling dasar, seperti kekuasaan, tanggung jawab, dan cinta. Dongeng yang mengharukan sekaligus amat mendalam ini termasuk karya-karya agung sastra dunia yang tidak terlupakan.

Profil Penulis:
Antoine-Marie-Roger de Saint-Exupéry lahir di Lyon, Prancis, pada tanggal 29 Juni 1900. Meskipun ayahnya meninggal pada tahun 1904, ia menjalani masa kecil penuh idealisme bersama saudara laki-laki dan tiga saudara perempuannya. Ia belajar di sekolah Jesuit yang ketat di Le Mans, kemudian melanjutkan ke College Saint-Jean di Fribourg. Meski ditentang keluarganya, ia memilih menjadi pilot selama masa wajib militer dan melakukan penerbangan di Prancis dan Afrika Utara sampai tugasnya usai pada tahun 1923.
Merasa tak cocok menjalani kehidupan sipil dan patah hati akibat kegagalan hubungannya dengan penulis Louise de Vilmorin, SaintExupéry berpaling kembali pada cinta pertamanya: terbang. Tahun 1926 ia bergabung dengan Latécoère—belakangan berubah nama menjadi Aéropostale—sebagai salah satu penerbang pelopor dalam membuka jalur pos menuju koloni-koloni Afrika yang terpencil dan Amerika Selatan, menggunakan pesawat-pesawat primitif dan dalam kondisi berbahaya. Setelah bertugas membawa kiriman pos dari Toulouse ke Maroko, Saint-Exupéry diangkat menjadi kepala lapangan terbang terpencil dan miskin fasilitas di Cape Juby, Maroko. Di sana tugasnya meliputi menyelamatkan pilot-pilot yang terdampar dari ancaman suku-suku pemberontak, dan di pos ini pula ia menulis Courrier Sud—Pesawat Pos Selatan—1929. Dari pos berikutnya di Buenos Aires, tempat ia menjabat direktur Aeroposta Argentina, ia membawa pulang naskah Vol de Nuit dan tunangannya yang cantik namun temperamental, Consuelo Suncin, wanita Salvador yang lalu dinikahinya tahun 1931. Pada tahun yang sama, Vol de Nuit memperoleh penghargaan Prix Femina, yang kian meneguhkan posisi Saint-Exupéry dalam dunia sastra.","Fantasi"
"Sentuhan Emas","Semua tahu Raja Midasia bisa mengubah apa pun yang disentuhnya menjadi emas. Namun tidak ada yang tahu bahwa ratusan generasi berikutnya, di masa ini, masih ada sedikit keturunannya yang hidup di antara kita. Qadira salah satu yang punya kemampuan itu. Namun, apakah kehidupannya menjadi nyaman tanpa kekurangan apa pun? Atau justru dipenuhi ketakutan karena banyak yang ingin memanfaatkannya? Dan ada Vance, yang pekerjaannya mendeteksi emas-emas “palsu” itu dan menangkap pembuatnya. Lalu mereka bertemu.

Prolog:
Terwujud atau tidaknya sebuah mimpi bukan hanya tergantung pada apa mimpi itu, tetapi juga tergantung pada siapa yang memimpikannya. Jika seorang raja bermimpi menguasai kerajaan tetangga, mungkin saja itu menjadi nyata bila ia mengusahakannya. Jika rakyat biasa memimpikan hal yang sama... masih mungkin, tetapi jauh lebih sulit. Lalu bagaimana jika seorang raja bermimpi bisa mengubah benda-benda menjadi emas hanya dengan sentuhan tangannya? Rasanya mustahil terwujud. Namun, itu pernah terjadi pada Raja Midasia setelah ia membuat kesepakatan dengan seorang penyihir
Sang Raja pun segera mengubah semua miliknya menjadi emas. Hal pertama yang ia ubah tentu saja mahkotanya. Ia tersenyum sambil mengenakannya kembali, puas merasakan beratnya emas di kepalanya. Mahkota itu menjelma menjadi emas murni, bukan sekadar berlapis emas. Kemudian ia mengubah kursi tahta yang semula terbuat dari kayu berukir dan dialasi kulit domba. Ia pun duduk bahagia di atasnya, seolah itu adalah kursi paling nyaman meskipun nyatanya dingin dan keras. Kemudian, ia mengubah teko-teko, cangkir, serta sendok garpu di hadapannya.

Selling Point:
1. Penulis sudah menerbitkan banyak buku anak dan novel. 
2. Menggabungkan unsur detektif, romance, dan fantasi dengan latar Amerika. 
3. Terinsipirasi dari kisah Raja Midas yang mampu mengubah semua yang ia sentuh menjadi emas.","Fantasi"
"A Curse For True Love","Tak ada yang lebih diinginkan Evangeline Fox selain akhir bahagia selamanya. Dia menikahi pangeran tampan dan tinggal di istana kerajaan. Dia seharusnya bersenang-senang tanpa satu pun kekhawatiran.

Namun, mengapa dia malah merasa hampa? Mengapa rasanya seolah ada sesuatu yang hilang dan meninggalkan lubang menganga di hatinya? Mengapa jantungnya berdebar kencang untuk lelaki asing selain suaminya? Malaikat rupawan berambut keemasan yang memicu sebuah ingatan yang sepertinya terlupakan:

Lelaki itu rela menggendongnya melewati apa saja, bukan hanya perairan membekukan. Lelaki itu akan menyeretnya menerjang api jika perlu, menggotongnya agar selamat dari impitan perang, dari kota-kota yang runtuh dan dunia-dunia yang hancur ....

Ada yang berubah dalam diri Evangeline. Sepertinya, saat ini, dia bukan lagi gadis yang memiliki harapan abadi, yang memercayai dongeng, cinta pandangan pertama, ataupun akhir bahagia selamanya.

Keunggulan
- Sampul versi Indonesia untuk buku 1 dan 2 sempat membuat heboh ketika dibagikan oleh Stephanie Garber di Instagram pribadinya. Sampul ini menarik perhatian pembaca internasional dan telah dijual ke berbagai belahan dunia, seperti Amerika, Kanada, dan Jerman.
- Tokoh-tokoh ciptaan Stephanie tidak ada yang sepenuhnya baik atau sepenuhnya jahat. Karakter mereka selalu abu-abu dan inilah salah satu kelebihan yang menarik bagi para pembaca fantasi.
- Tulisan Stephanie mampu mengaduk emosi, alurnya sulit ditebak, dan penggambaran semestanya (yang masih berkaitan engan seri Caraval), masih seajaib biasanya. Terasa nyata sekaligus magis.
- Inti cerita terasa sangat dekat bagi kebanyakan orang, terutama yang pernah mengalami patah hati dan diselingkuhi pasangan.
- Ada tokoh-tokoh magis yang disebut Takdir, dengan kutukan yang beragam. Menarik dan penuh intrik.
- Kisah pada buku ketiga ini melibatkan banyak dongeng, kutukan, dan tempat-tempat magis yang memesona.
- Daya tarik utama buku ini adalah tokoh lelakinya, Jacks, yang bisa disebut sebagai villain atau penjahat.
- Buku ketiga versi Indonesia disisipi dengan ilustrasi karakter Jacks dan Evangeline.
- Untuk versi pra-order, akan ada satu bonus epilog yang hanya dimiliki oleh 3 versi lain di seluruh dunia (hanya Indonesia yang akan menerbitkan versi selain bahasa Inggris untuk bonus epilog ini).
- Ada lebih banyak konflik yang sarat isi dalam buku yang menjadi penutup seri Once upon a Broken Heart ini, juga kehadiran tokoh-tokoh lain yang tak disangka-sangka.
- Pada buku ketiga ini, Stephanie menggunakan sudut pandang bergantian dari tiga tokoh sekaligus: Evangeline, Apollo, dan Jack","Fantasi"
"Alaia New Edition","Dia masih hidup
Keturuan sang Raja Siren dan Ratu Mermaid
Menjalin hubungan terlarang
Memecahkan kutukan
Menentang permainan alam yang bersebunyi di jantung laut
Siapa yang akan bertahan hingga akhir?

***

Pantai Savarna, 2018 OMBAK saling menabrak karang. Langit berubah abu-abu dan terus menampilkan cahaya mengerikan akibat kilat dan petir. Belum lagi, hujan lebat membuat jarak pandang menjadi sempit. Jauh di bawah langit yang mengamuk, dua kapal melintasi lautan luas. Tak sedikit dari para awaknya memohon kepada Sang Maha Kuasa untuk meredakan badai. Saat ini, gelombang menggulung makin tinggi. Rasa takut menghantui mereka yang sedang berlayar. Tetapi, tidak dengan seorang pria dengan kacamata hitam dan jaket kulit yang melekat di badan kekarnya. Dia justru memarahi hujan yang turun tiba-tiba disertai guntur. Pria bernama Kai itu kesal karena cuaca ekstrem mengacaukan perjalanannya bersama seorang temannya yang bertugas sebagai nahkoda. Namun, sebenarnya, ada satu orang lagi yang sengaja disembunyikannya. Orang itu sengaja dia bawa agar tidak coba-coba kabur ketika ditinggal sendiri di rumah. Dengan wajah garang, Kai mendekati ruangan sempit dan pengap. Di sana, dia menyembunyikan gadis manis yang tampak mual karena kapal erombang-ambing sangat ""P-Paman, ada apa?"" gadis itu bertanya. Dia tidak tahu apa yang terjadi karena Kai membawanya ke sini dengan mata tertutup. ""Paman, di sini gelap, apa aku boleh keluar?"" tanyanya lagi dengan memohon. ""Enggak! Jangan keluar dari sini kalo enggak mau saya hukum!"" Kai enyentak, membuat gadis itu tertunduk. Setelah itu, Kai menutup pintu dan menguncinya dari luar. Dia mengurung remaja itu untuk kesekian kali. Hela napas gadis itu terdengar berat. Dia duduk di pojok ruangan, menekuk lutut, dan memeluknya sambil menahan tangis. Dia ingin sekali melihat keadaan di luar sana. Dia ingin tahu suara-suara gemuruh itu berasal dari mana. Gadis itu bernama Alaia. Terhitung sembilan belas tahun dirinya hidup di dunia. Ketika masih bayi, dia pernah berada di posisi ini. Sendirian, terkurung, hanya mendengar gemuruh dan debur yang begitu hebat tanpa melihat langsung dari mana asalnya. Kini, air matanya jatuh membasahi lutut. Air mata itu rembes bersamaan dengan kilat dan badai yang semakin mengamuk. Di tempat lain, Kai cemas, begitu juga temannya. Mereka hampir kehilangan kendali kala ombak besar menerjang kapal.","Fantasi"
"Sky Academy","Sky Academy telah dibuka secara resmi. Anda diundang secara terhormat oleh pihak kami untuk mengunjungi Sky Academy yang terletak di xx, persimpangan xxx, dari utara.

Kembali dengan perjalanan Piya dan teman-temannya untuk melanjutkan pendidikan sihir mereka di Sky Academy. Sekolah sihir itu konon katanya menyediakan fasilitas terbaik untuk para penyihir.

Namun, kedatangan Piya dan teman-temannya ternyata bukan hanya untuk bersekolah, melainkan untuk menyelesaikan sebuah misi mengumpulkan para peri dari dimensi lain.
Dunia sihir sekali lagi terancam, kali ini oleh penyusup. Dunia sihir membutuhkan para hidden power dan penyihir lain untuk menyelamatkan mereka.

Namun, bagaimana jika di antara pemilik hidden power justru terlempar ke linimasa bertahun-tahun lalu? Akankah mereka berhasil?

Tahun Terbit : Cetakan Pertama, Januari 2024


Pernahkah Anda terpikir betapa menariknya dunia yang terbuka lebar lewat lembaran buku? Membaca bukan hanya kegiatan rutin, tetapi juga petualangan tak terbatas ke dalam imajinasi dan pengetahuan.

Membaca mengasah pikiran, membuka wawasan, dan memperkaya kosakata. Ini adalah pintu menuju dunia di luar kita yang tak terbatas.

Tetapkan waktu khusus untuk membaca setiap hari. Dari membaca sebelum tidur hingga menyempatkan waktu di pagi hari, kebiasaan membaca dapat dibentuk dengan konsistensi.
Pilih buku sesuai minat dan level literasi. Mulailah dengan buku yang sesuai dengan keinginan dan kemampuan membaca.

Temukan tempat yang tenang dan nyaman untuk membaca. Lampu yang cukup, kursi yang nyaman, dan sedikit musik pelataran bisa menciptakan pengalaman membaca yang lebih baik.

Buat catatan atau jurnal tentang buku yang telah Anda baca. Tuliskan pemikiran, kesan, dan pelajaran yang Anda dapatkan.","Fantasi"
"The School for Good and Evil 6: Raja Sejati","Tedros sedang bersiap untuk menjadi Raja Camelot yang baru. Namun, bayangan jahat mengintai. Japeth, saudara Rhian yang diyakini telah meninggal, kembali dan menyamar sebagai Rhian. Ia berhasil menipu Excalibur dan meyakinkan semua orang bahwa ia adalah Raja yang sah. 

Sophie dan Agatha bekerja sama untuk mengungkap kebenaran. Perjalanan mereka membawa mereka ke tempat-tempat yang ajaib dan berbahaya, dan mereka harus menghadapi tantangan dan membuat pilihan sulit. Sementara itu, Tedros harus membuktikan dirinyalah sang Raja sebenarnya dan mengalahkan Japeth. Pertempuran epik pun terjadi, dengan nasib Camelot yang dipertaruhkan.

The School for Good and Evil merupakan serial fantasi yang terdiri dari enam judul. Buku pertamanya dari serial ini sudah terjual sebanyak 3 juta eksemplar dan telah diterjemahkan dalam 30 bahasa. Empat buku pertama dari The School for Good and Evil juga telah diterjemahkan dalam Bahasa Indonesia oleh Penerbit Bhuana Ilmu Populer. Dunia dalam kisah The School for Good and Evil disebut-sebut sebagai versi fairy tale dari Harry Potter.

Selling Point:
- Novel ini adalah klimaks epik dari seri School for Good and Evil yang sudah ditunggu-tunggu penggemarnya. 
- Novel ini penuh dengan aksi, petualangan, dan romansa, serta memberikan kesimpulan yang memuaskan dan emosional. 
- Novel School for Good and Evil 1 sudah difilmkan dan tayang di Netflix.

Soman Chainani adalah seorang penulis dan produser yang berkebangsaan Amerika. Dia dikenal sebagai penulis buku trilogi The School for Good and Evil. Saat kuliah, dia mengambil jurusan English and American Literature di Harvard University. Bahkan Soman meraih gelar Cum Laude saat dia menyelesaikan pendidikannya di sana. Setelah itu dia melanjutkan kuliahnya ke Colombia University tempat dia mengikuti pertandingan MFA Program Film.

Novel yang pertama yang dia tulis adalah novel The School for Good and Evil yang dirilis di New York Times Bestseller List dan sudah diterjemahkan dalam 26 bahasa dan tersebar di 6 benua. Novel ini juga nantinya akan difilmkan oleh Universal Studio dan akan di sutradarai oleh Joe Roth (sutradara film Snow White & The Huntsman, Alice in Wonderland serta Maleficent) dan Jane Startz ( sutradara film Ella Enchanted dan Tuck Everlasting)","Fantasi"
